n,k,entry,factors,max_factor
1,0,4,"{2:2}",2
2,-1,16,"{2:4}",2
3,0,28,"{2: 2, 7: 1}",7
4,-1,148,"{2: 2, 37: 1}",37
5,-2,700,"{2: 2, 5: 2, 7: 1}",7
5,0,268,"{2: 2, 67: 1}",67
6,-3,3124,"{2: 2, 11: 1, 71: 1}",71
6,-1,1504,"{2: 5, 47: 1}",47
7,-4,13468,"{2: 2, 7: 1, 13: 1, 37: 1}",37
7,-2,7636,"{2: 2, 23: 1, 83: 1}",83
7,0,2776,"{2: 3, 347: 1}",347
8,-5,56788,"{2: 2, 14197: 1}",14197
8,-3,36376,"{2: 3, 4547: 1}",4547
8,-1,15964,"{2: 2, 13: 1, 307: 1}",307
9,-6,235900,"{2: 2, 5: 2, 7: 1, 337: 1}",337
9,-4,165916,"{2: 2, 41479: 1}",41479
9,-2,84268,"{2: 2, 21067: 1}",21067
9,0,29836,"{2: 2, 7459: 1}",7459
10,-7,969844,"{2: 2, 37: 1, 6553: 1}",6553
10,-5,733648,"{2: 4, 45853: 1}",45853
10,-3,418720,"{2: 5, 5: 1, 2617: 1}",2617
10,-1,173776,"{2: 4, 10861: 1}",10861
11,-8,3958108,"{2: 2, 7: 1, 11: 1, 71: 1, 181: 1}",181
11,-6,3170788,"{2: 2, 792697: 1}",792697
11,-4,1989808,"{2: 4, 124363: 1}",124363
11,-2,940048,"{2: 4, 41: 1, 1433: 1}",1433
11,0,327688,"{2: 3, 40961: 1}",40961
12,-9,16068628,"{2: 2, 23: 1, 174659: 1}",174659
12,-7,13470472,"{2: 3, 173: 1, 9733: 1}",9733
12,-5,9140212,"{2: 2, 41: 1, 55733: 1}",55733
12,-3,4809952,"{2: 5, 7: 1, 109: 1, 197: 1}",197
12,-1,1923112,"{2: 3, 37: 1, 73: 1, 89: 1}",89
13,-10,64983100,"{2: 2, 5: 2, 7: 1, 13: 1, 37: 1, 193: 1}",193
13,-8,56480044,"{2: 2, 14120011: 1}",14120011
13,-6,40891108,"{2: 2, 31: 1, 43: 1, 7669: 1}",7669
13,-4,23570068,"{2: 2, 311: 1, 18947: 1}",18947
13,-2,10579288,"{2: 3, 157: 1, 8423: 1}",8423
13,0,3650872,"{2: 3, 43: 1, 10613: 1}",10613
14,-11,262058164,"{2: 2, 131: 1, 500111: 1}",500111
14,-9,234423232,"{2: 6, 1319: 1, 2777: 1}",2777
14,-7,179153368,"{2: 3, 22394171: 1}",22394171
14,-5,111601312,"{2: 5, 47: 1, 74203: 1}",74203
14,-3,55307932,"{2: 2, 13826983: 1}",13826983
14,-1,21531904,"{2: 8, 241: 1, 349: 1}",349
15,-12,1054609948,"{2: 2, 7: 2, 379: 1, 14197: 1}",14197
15,-10,965327860,"{2: 2, 5: 1, 7: 1, 79: 1, 87281: 1}",87281
15,-8,771883336,"{2: 3, 7: 1, 13783631: 1}",13783631
15,-6,513957304,"{2: 3, 7: 1, 41: 1, 223849: 1}",223849
15,-4,277525108,"{2: 2, 7: 1, 83: 1, 119417: 1}",119417
15,-2,119903644,"{2: 2, 7: 1, 4282273: 1}",4282273
15,0,41092912,"{2: 4, 7: 1, 366901: 1}",366901
16,-13,4237571668,"{2: 2, 11: 1, 37: 1, 61: 1, 71: 1, 601: 1}",601
16,-11,3950593528,"{2: 3, 7: 1, 23: 1, 3067231: 1}",3067231
16,-9,3280977868,"{2: 2, 7: 2, 1129: 1, 14827: 1}",14827
16,-7,2313755248,"{2: 4, 7: 1, 19: 1, 1087291: 1}",1087291
16,-5,1346532628,"{2: 2, 7: 1, 53: 1, 907367: 1}",907367
